route_id,route_short_name,route_long_name,service_period,avg_headway_min,median_headway_min,p90_headway_min,headway_observations
110,110,University Express,PM peak,22.428571428571427,22.0,23.0,21
110,110,University Express,evening,23.066666666666666,21.0,30.6,15
110,110,University Express,late night,26.5625,24.0,29.5,16
110,110,University Express,other,,,,0
110,110,University Express,unknown,,,,0
126,126,Burnhamthorpe Express,early morning,,,,0
126,126,Burnhamthorpe Express,AM peak,20.0,20.0,20.0,12
126,126,Burnhamthorpe Express,midday,20.0,20.0,20.0,9
126,126,Burnhamthorpe Express,PM peak,20.869565217391305,20.0,22.0,23
126,126,Burnhamthorpe Express,evening,20.0,20.0,20.0,1
126,126,Burnhamthorpe Express,late night,,,,0
126,126,Burnhamthorpe Express,other,,,,0
126,126,Burnhamthorpe Express,unknown,,,,0
135,135,Eglinton Express,early morning,,,,0
135,135,Eglinton Express,AM peak,15.0,15.0,15.0,23
135,135,Eglinton Express,midday,15.0,15.0,15.0,3
135,135,Eglinton Express,PM peak,15.0,15.0,15.0,24
135,135,Eglinton Express,evening,,,,0
135,135,Eglinton Express,late night,,,,0
135,135,Eglinton Express,other,,,,0
135,135,Eglinton Express,unknown,,,,0
302,302,Philip Pocock SS,early morning,,,,0
